,Symbol,Accuracy,Precision,Recall,ROC Score
546,GARFIBRES,0.75,0.32,0.52,0.65
547,SPANDANA,0.97,0.85,0.92,0.95
548,AVANTIFEED,0.9,0.72,0.91,0.9
549,SURYAROSNI,0.98,0.98,0.95,0.97
550,ZENTEC,0.94,0.87,0.97,0.95
551,JINDWORLD,0.93,0.78,0.93,0.93
552,EDELWEISS,0.94,0.85,0.98,0.95
553,JSWHL,0.92,0.84,0.92,0.92
554,SHAREINDIA,0.93,0.64,0.76,0.86
555,SUNTECK,0.99,0.96,0.98,0.98
556,TCI,0.96,0.81,1.0,0.98
557,AHLUCONT,0.3,0.11,0.34,0.31
558,MSTCLTD,0.96,0.91,0.95,0.96
559,GREENLAM,0.97,0.83,1.0,0.98
560,PRINCEPIPE,0.95,0.81,0.81,0.89
561,HCC,0.94,0.92,0.88,0.92
562,DBL,0.98,0.91,0.98,0.98
563,JKPAPER,0.93,0.82,0.93,0.93
564,SIS,0.99,0.94,0.94,0.97
565,HEG,0.96,0.92,0.94,0.95
566,PARADEEP,0.86,0.72,0.66,0.79
567,CSBBANK,0.98,0.94,0.84,0.92
568,ISGEC,0.82,0.76,0.68,0.79
569,GRAVITA,0.93,0.81,1.0,0.95
570,GOCOLORS,0.88,0.62,0.86,0.87
571,IBREALEST,0.96,0.89,0.97,0.96
572,VIJAYA,0.76,0.36,0.64,0.71
573,DEEPAKFERT,0.95,0.89,0.96,0.95
574,WOCKPHARMA,0.92,0.85,0.92,0.92
575,GANESHHOUC,0.93,0.83,0.97,0.94
576,HEMIPROP,0.83,0.7,0.66,0.77
577,NIITMTS,0.76,0.0,0.0,0.5
578,SYMPHONY,0.94,0.82,0.96,0.95
579,LTFOODS,0.6,0.45,0.91,0.68
580,GMMPFAUDLR,0.97,0.86,0.94,0.96
581,NAZARA,0.9,0.74,0.88,0.89
582,ARVINDFASN,0.92,0.85,0.83,0.89
583,UTKARSHBNK,0.87,0.54,0.76,0.83
584,CYIENTDLM,0.79,0.4,0.64,0.73
585,NESCO,0.93,0.74,0.81,0.88
586,ITDCEM,0.96,0.94,0.96,0.96
587,SINDHUTRAD,0.83,0.76,0.63,0.77
588,EPL,0.89,0.64,0.7,0.81
589,JAICORPLTD,0.96,0.95,0.9,0.94
590,RAIN,0.96,0.92,0.9,0.94
591,ASTRAMICRO,0.99,0.96,0.98,0.98
592,PAISALO,0.85,0.71,0.86,0.85
593,JAYNECOIND,0.93,0.85,0.87,0.91
594,BECTORFOOD,0.85,0.69,0.78,0.83
595,SENCO,0.72,0.58,0.83,0.75
596,HNDFDS,0.92,0.71,0.65,0.81
597,DODLA,0.87,0.82,0.63,0.79
598,MOIL,0.96,0.91,0.93,0.95
599,ITDC,0.97,0.95,0.94,0.96
600,GUJALKALI,0.78,0.39,0.69,0.74
601,HGINFRA,0.98,0.96,0.96,0.97
602,PTC,0.94,0.86,0.93,0.94
603,ETHOSLTD,0.75,0.57,0.92,0.8
604,MTARTECH,0.91,0.68,0.78,0.86
605,RTNPOWER,0.96,0.95,0.91,0.94
606,ROLEXRINGS,0.89,0.64,0.76,0.84
607,CMSINFO,0.82,0.56,0.58,0.73
608,LLOYDSENGG,0.48,0.39,0.97,0.6
609,KPIGREEN,0.8,0.76,0.62,0.76
610,VSTIND,0.85,0.59,1.0,0.9
611,FUSION,0.89,0.7,0.47,0.72
612,ICRA,0.97,0.86,0.94,0.96
613,PATELENG,0.95,0.94,0.88,0.93
614,STLTECH,0.87,0.56,0.65,0.78
615,MASFIN,0.97,0.87,0.93,0.95
616,IFBIND,0.92,0.79,0.96,0.93
617,CHOICEIN,0.65,0.43,0.84,0.71
618,SANSERA,0.85,0.75,0.73,0.82
619,RSYSTEMS,0.94,0.8,0.98,0.96
620,PRUDENT,0.74,0.56,0.82,0.76
621,ICIL,0.96,0.89,0.98,0.97
622,ORIENTCEM,0.94,0.88,0.93,0.94
623,RBA,0.91,0.61,0.8,0.86
624,GATEWAY,0.92,0.78,0.6,0.79
625,PURVA,0.95,0.93,0.94,0.95
626,GOKEX,0.96,0.85,0.98,0.97
627,SUPRAJIT,0.96,0.83,0.98,0.96
628,DBCORP,0.96,0.92,0.95,0.96
629,TEAMLEASE,0.97,0.92,0.9,0.94
630,AURIONPRO,0.91,0.84,0.92,0.91
631,NFL,0.91,0.88,0.88,0.91
632,VRLLOG,0.98,0.93,0.93,0.96
633,KESORAMIND,0.97,0.91,0.88,0.93
634,GALLANTT,0.86,0.72,1.0,0.89
635,GABRIEL,0.97,0.93,0.93,0.96
636,PRICOLLTD,0.98,1.0,0.9,0.95
637,HCG,0.95,0.74,1.0,0.97
638,AGI,0.86,0.74,0.74,0.82
639,SULA,0.89,0.5,0.59,0.76
640,WONDERLA,0.97,0.95,0.81,0.9
641,BANCOINDIA,0.97,0.94,0.92,0.95
642,ASHOKA,0.93,0.87,0.93,0.93
643,HEIDELBERG,0.96,0.81,0.97,0.96
644,AARTIDRUGS,0.97,0.91,0.91,0.95
645,TIMETECHNO,0.96,0.92,0.91,0.94
646,GHCL,0.95,0.86,0.93,0.95
647,WELENT,0.95,0.96,0.86,0.92
648,DHANUKA,0.97,0.96,0.96,0.97
649,GRWRHITECH,0.75,0.68,0.7,0.74
650,JKIL,0.97,0.95,0.94,0.96
651,RALLIS,0.93,0.72,0.97,0.95
652,PRIVISCL,0.9,0.79,0.85,0.89
653,GENSOL,0.8,0.61,0.78,0.79
654,PGEL,0.93,0.87,0.97,0.93
655,SANGHVIMOV,0.97,0.93,0.93,0.96
656,TARC,0.85,0.85,0.72,0.82
657,BAJAJHIND,0.95,0.87,0.96,0.96
658,AARTIPHARM,0.84,0.81,0.43,0.7
659,TIIL,0.9,0.8,0.87,0.89
660,NOCIL,0.96,0.9,0.94,0.95
661,IPL,0.83,0.54,0.76,0.8
662,DYNAMATECH,0.96,0.93,0.94,0.95
663,TCIEXP,0.99,0.92,1.0,0.99
664,ADVENZYMES,0.95,0.86,0.96,0.95
665,JAMNAAUTO,0.95,0.83,0.95,0.95
666,KKCL,0.99,0.95,0.9,0.95
667,BBOX,0.87,0.77,0.81,0.85
668,TI,0.98,0.94,0.96,0.97
669,BOROLTD,0.97,0.88,0.97,0.97
670,FCL,0.43,0.19,0.41,0.43
671,SHARDAMOTR,0.87,0.74,0.93,0.88
672,WABAG,0.9,0.86,0.89,0.9
673,BALMLAWRIE,0.87,0.72,0.97,0.89
674,GULFOILLUB,0.88,0.74,1.0,0.91
675,GREENPANEL,0.96,0.88,0.93,0.95
676,KIRLPNU,0.8,0.65,0.67,0.76
677,HATHWAY,0.96,0.87,0.93,0.95
678,HGS,0.99,0.93,0.96,0.98
679,TDPOWERSYS,0.95,0.88,0.98,0.96
680,JTLIND,0.88,0.68,0.85,0.87
681,RAMKY,0.95,0.96,0.84,0.91
682,DCBBANK,0.99,0.93,1.0,0.99
683,WSTCSTPAPR,0.95,0.9,0.8,0.89
684,ORISSAMINE,0.96,0.9,0.96,0.96
685,SAMHI,0.63,0.32,0.97,0.76
686,ROSSARI,0.97,0.84,0.93,0.95
687,KIRLOSIND,0.97,0.94,0.94,0.96
688,YATHARTH,0.88,0.83,0.62,0.79
689,ORIENTELEC,0.88,0.6,0.95,0.9
690,AMIORG,0.83,0.57,0.78,0.81
691,SUBROS,0.97,0.93,0.97,0.97
692,SSWL,0.97,0.8,0.96,0.96
693,JISLJALEQS,0.96,0.84,0.98,0.96
694,UNITECH,0.97,0.95,0.94,0.96
695,SHANTIGEAR,0.98,0.91,0.98,0.98
696,MAXESTATES,0.58,0.42,0.86,0.65
697,DISHTV,0.96,0.86,0.98,0.96
698,EMUDHRA,0.79,0.57,0.67,0.75
699,SUDARSCHEM,0.88,0.76,0.96,0.9
700,SUNDARMHLD,0.97,0.95,0.97,0.97
701,VMART,0.93,0.86,0.97,0.94
702,LAOPALA,0.96,0.82,0.93,0.95
703,SUNFLAG,0.97,0.91,0.98,0.97
704,KSCL,0.97,0.91,0.98,0.97
705,UNICHEMLAB,0.98,0.92,0.98,0.98
706,HMAAGRO,0.92,0.91,0.6,0.79
707,JTEKTINDIA,0.97,0.94,0.93,0.95
708,IMAGICAA,0.74,0.53,0.85,0.77
709,DELTACORP,0.97,0.86,0.94,0.96
710,KALAMANDIR,0.78,0.35,0.88,0.82
711,BHARATRAS,0.94,0.77,0.97,0.95
712,THANGAMAYL,0.93,0.78,1.0,0.95
713,LGBBROSLTD,0.99,0.97,0.97,0.98
714,BOMDYEING,0.93,0.81,0.97,0.94
715,GREAVESCOT,0.96,0.9,0.97,0.96
716,PFOCUS,0.97,0.99,0.93,0.96
717,INOXGREEN,0.82,0.77,0.71,0.79
718,KOLTEPATIL,0.97,0.95,0.9,0.94
719,HARSHA,0.84,0.57,0.54,0.72
720,DCXINDIA,0.9,0.68,0.72,0.83
721,NUCLEUS,0.95,1.0,0.82,0.91
722,LUXIND,0.97,0.88,0.98,0.97
723,HIKAL,0.97,0.87,1.0,0.98
724,IMFA,0.96,0.88,0.94,0.95
725,NEOGEN,0.94,0.8,0.87,0.91
726,DATAMATICS,0.99,0.97,0.97,0.98
727,KSL,0.95,0.9,0.97,0.96
728,NAVNETEDUL,0.96,0.81,0.9,0.93
729,APOLLO,0.93,1.0,0.69,0.85
730,SEQUENT,0.97,0.95,0.95,0.97
731,HLEGLAS,0.94,0.67,0.63,0.8
732,INDOCO,0.97,0.81,0.96,0.96
733,SHARDACROP,0.96,0.86,1.0,0.98
734,PILANIINVS,0.8,0.61,0.94,0.84
735,KAUSHALYA,0.55,0.11,0.07,0.42
736,ASHAPURMIN,0.96,0.85,0.92,0.94
737,RAJRATAN,0.98,0.85,0.96,0.97
738,SAGCEM,0.96,0.75,0.91,0.94
739,TASTYBITE,0.94,0.72,0.65,0.81
740,BBL,0.95,0.89,0.99,0.96
741,KDDL,0.96,0.88,0.92,0.95
742,CARTRADE,0.82,0.6,0.76,0.8
743,PRAKASH,0.98,0.96,0.97,0.97
744,SEPC,0.84,0.81,0.65,0.79
745,CARERATING,0.98,0.92,0.95,0.97
746,SHILPAMED,0.96,0.89,1.0,0.97
747,TVSSRICHAK,0.97,0.96,0.84,0.92
748,GUFICBIO,0.97,0.88,0.95,0.96
749,SHALBY,0.97,0.85,0.88,0.93
750,DCAL,0.96,0.88,0.96,0.96
751,THYROCARE,0.75,0.48,0.68,0.72
752,AVALON,0.77,0.46,0.88,0.81
753,DALMIASUG,0.95,0.88,0.92,0.94
754,NRBBEARING,0.98,1.0,0.9,0.95
755,GOODLUCK,0.92,0.89,0.77,0.87
756,VENUSPIPES,0.86,0.69,0.76,0.82
757,GMRP&UI,0.77,0.66,0.93,0.8
758,PFS,0.94,0.83,1.0,0.96
759,BANARISUG,0.89,0.68,0.96,0.92
760,SBCL,0.86,0.7,0.78,0.84
761,HINDWAREAP,0.9,0.71,0.77,0.85
762,UFLEX,0.97,0.89,0.95,0.96
763,ZAGGLE,0.69,0.49,0.82,0.73
764,BAJAJCON,0.97,0.84,0.97,0.97
765,PARAGMILK,0.96,0.87,0.96,0.96
766,LUMAXTECH,0.95,0.88,0.92,0.94
767,SEAMECLTD,0.94,0.86,0.95,0.94
768,ACCELYA,0.96,0.82,1.0,0.97
769,FIEMIND,0.95,0.91,0.9,0.93
770,SAKSOFT,0.97,0.95,0.91,0.95
771,LANDMARK,0.91,0.73,0.42,0.7
772,MAITHANALL,0.96,0.9,0.93,0.95
773,ASHIANA,0.74,0.46,0.96,0.82
774,VINDHYATEL,0.94,0.93,0.83,0.9
775,AXISCADES,0.96,0.88,0.98,0.96
776,JCHAC,0.78,0.62,0.64,0.74
777,IDEAFORGE,0.84,0.25,0.21,0.56
778,SUPRIYA,0.88,0.75,0.92,0.89
779,NILKAMAL,0.98,0.78,0.93,0.96
780,GIPCL,0.93,0.91,0.85,0.91
781,MOLDTKPAC,0.99,0.93,0.93,0.96
782,FILATEX,0.92,0.79,0.97,0.93
783,HERITGFOOD,0.96,0.93,0.92,0.94
784,MTNL,0.95,0.97,0.88,0.93
785,GREENPLY,0.98,0.94,0.99,0.98
786,SKIPPER,0.89,0.8,0.98,0.91
787,SANDHAR,0.96,0.91,0.86,0.92
788,APOLLOPIPE,0.98,0.86,1.0,0.99
789,AUTOAXLES,0.96,0.79,0.75,0.86
790,REPCOHOME,0.97,0.92,0.96,0.97
791,POLYPLEX,0.96,0.84,1.0,0.97
792,SHK,0.97,0.93,0.98,0.97
793,SANGHIIND,0.98,1.0,0.84,0.92
794,SWARAJENG,0.95,0.81,0.97,0.96
795,TATVA,0.91,0.55,0.77,0.85
796,PARACABLES,0.92,0.9,0.87,0.91
797,MAHLOG,0.94,0.84,0.94,0.94
798,KCP,0.89,0.79,0.89,0.89
799,PARAS,0.86,0.66,0.84,0.85
800,GTLINFRA,0.95,0.9,0.94,0.94
801,SOTL,0.9,0.78,0.89,0.9
802,DIAMONDYD,0.95,0.82,0.98,0.96
803,DEN,0.95,0.81,0.95,0.95
804,SATIN,0.98,0.92,0.95,0.96
805,VSTTILLERS,0.98,0.95,0.95,0.97
806,TIDEWATER,0.94,0.88,0.96,0.95
807,SOMANYCERA,0.98,0.86,1.0,0.99
808,CARYSIL,0.88,0.65,0.69,0.81
809,EMSLIMITED,0.75,0.64,0.53,0.69
810,SHAKTIPUMP,0.91,0.84,0.98,0.92
811,CIGNITITEC,0.96,0.73,0.9,0.93
812,INDIAGLYCO,0.97,0.94,0.96,0.96
813,GANECOS,0.93,0.85,0.96,0.94
814,CUPID,0.94,0.91,0.9,0.93
815,HINDOILEXP,0.95,0.93,0.93,0.95
816,ANUP,0.94,0.87,0.97,0.95
817,DOLLAR,0.94,0.73,0.97,0.95
818,STYLAMIND,0.92,0.72,0.85,0.89
819,BFUTILITIE,0.96,0.9,0.95,0.95
820,RPGLIFE,0.96,0.9,0.95,0.95
821,QUICKHEAL,0.92,0.86,0.9,0.91
822,DREAMFOLKS,0.9,0.64,0.29,0.63
823,VAKRANGEE,0.94,0.85,0.95,0.94
824,CONFIPET,0.92,0.81,0.79,0.87
825,YATRA,0.63,0.08,0.13,0.43
826,JINDALPOLY,0.97,0.9,0.98,0.97
827,PSPPROJECT,0.98,0.87,0.95,0.97
828,STYRENIX,0.84,0.7,0.8,0.83
829,OPTIEMUS,0.79,0.63,0.8,0.8
830,VADILALIND,0.97,0.91,0.98,0.97
831,MPSLTD,0.95,0.93,0.75,0.87
832,SANGAMIND,0.94,0.85,0.95,0.94
833,HUHTAMAKI,0.88,0.72,0.78,0.85
834,FINOPB,0.84,0.68,0.75,0.81
835,WENDT,0.99,1.0,0.91,0.95
836,MOREPENLAB,0.92,0.83,0.99,0.94
837,AJMERA,0.95,0.84,1.0,0.96
838,TARSONS,0.89,0.66,0.74,0.83
839,ARVSMART,0.92,0.92,0.84,0.9
840,PRECWIRE,0.96,0.92,0.99,0.97
841,SIGACHI,0.86,0.73,0.69,0.8
842,EVEREADY,0.96,0.9,0.81,0.9
843,BEPL,0.97,0.93,0.97,0.97
844,DHANI,0.84,0.71,0.74,0.81
845,ALEMBICLTD,0.93,0.79,1.0,0.95
846,MANINDS,0.94,0.89,0.9,0.93
847,BARBEQUE,0.88,0.57,0.83,0.86
848,PCJEWELLER,0.99,0.98,0.99,0.99
849,DIVGIITTS,0.94,0.91,0.48,0.74
850,INDOSTAR,0.95,0.92,0.94,0.95
851,UNIPARTS,0.93,0.68,0.65,0.81
852,UGROCAP,0.9,0.6,0.67,0.8
853,APCOTEXIND,0.96,0.72,1.0,0.98
854,VENKEYS,0.98,0.89,1.0,0.99
855,MUKANDLTD,0.96,0.88,0.96,0.96
856,SASKEN,0.97,0.91,0.98,0.97
857,IOLCP,0.95,0.88,0.85,0.91
858,GREENPOWER,0.98,0.92,1.0,0.99
859,BSHSL,0.76,0.34,0.93,0.83
860,XPROINDIA,0.9,0.76,0.77,0.85
861,KINGFA,0.95,0.87,0.96,0.96
862,VPRPL,0.73,0.54,0.61,0.7
863,HLVLTD,0.97,0.96,0.91,0.95
864,THEJO,0.66,0.32,0.57,0.62
865,IRMENERGY,0.87,0.63,0.52,0.73
866,ARTEMISMED,0.94,0.9,0.85,0.91
867,GLOBUSSPR,0.96,0.86,0.98,0.97
868,SIYSIL,0.99,0.91,1.0,0.99
869,DPSCLTD,0.92,0.77,0.96,0.94
870,63MOONS,0.88,0.72,0.88,0.88
871,SUVEN,0.96,0.93,0.95,0.96
872,BHARATWIRE,0.95,0.88,0.88,0.93
873,FOSECOIND,0.93,0.8,0.94,0.93
874,MONARCH,0.87,0.75,0.9,0.88
875,TIRUMALCHM,0.93,0.82,0.93,0.93
876,IKIO,0.87,0.54,0.52,0.72
877,ARMANFIN,0.99,0.93,1.0,0.99
878,HONDAPOWER,0.97,0.91,0.96,0.97
879,GTPL,0.97,0.85,0.94,0.95
880,SMLISUZU,0.96,0.89,0.93,0.95
881,MAYURUNIQ,0.97,0.94,0.89,0.94
882,UDS,0.76,1.0,0.06,0.53
883,EIHAHOTELS,0.95,0.93,0.9,0.94
884,MMFL,0.97,0.98,0.89,0.94
885,CAPACITE,0.91,0.88,0.76,0.86
886,MANORAMA,0.86,0.78,0.86,0.86
887,BCLIND,0.88,0.74,0.78,0.85
888,KRSNAA,0.87,0.68,0.8,0.85
889,ORIENTHOT,0.94,0.84,0.98,0.95
890,RIIL,0.95,0.85,0.91,0.93
891,JAGRAN,0.95,0.82,0.98,0.96
892,HPL,0.91,0.82,0.96,0.92
893,LUMAXIND,0.94,0.76,0.91,0.93
894,TAJGVK,0.96,0.94,0.88,0.93
895,ATFL,0.94,0.9,0.82,0.9
896,SUBEXLTD,0.77,0.48,0.21,0.57
897,GOCLCORP,0.97,0.89,0.92,0.95
898,THEMISMED,0.87,0.71,0.92,0.88
899,DREDGECORP,0.92,0.82,1.0,0.93
900,IFGLEXPOR,0.8,0.49,0.61,0.73
901,GOLDIAM,0.96,0.91,0.99,0.97
902,RUPA,0.97,0.9,0.92,0.95
903,SHRIRAMPPS,0.88,0.74,0.74,0.83
904,MBAPL,0.42,0.23,0.83,0.57
905,PRECAM,0.98,0.92,1.0,0.99
906,SHAILY,0.84,0.79,0.82,0.83
907,ADFFOODS,0.99,0.96,0.98,0.98
908,TTKHLTCARE,0.99,0.93,0.96,0.98
909,ANDHRAPAP,0.96,0.85,0.91,0.94
910,HIL,0.98,0.85,0.96,0.97
911,EXPLEOSOL,0.96,0.7,1.0,0.98
912,MOL,0.79,0.53,0.75,0.77
913,SERVOTECH,0.81,0.84,0.58,0.76
914,VIDHIING,1.0,0.96,1.0,1.0
915,SESHAPAPER,0.97,0.86,0.93,0.95
916,HITECH,0.83,0.68,0.84,0.83
917,TCPLPACK,0.95,0.79,1.0,0.97
918,PITTIENG,0.94,0.84,0.98,0.95
919,GVKPIL,0.65,0.09,0.07,0.44
920,JINDRILL,0.96,0.84,0.9,0.93
921,JASH,0.48,0.29,0.45,0.47
922,CENTUM,0.97,0.9,0.98,0.97
923,RPSGVENT,0.85,0.71,0.71,0.8
924,FMGOETZE,0.96,0.86,0.95,0.96
925,RAMASTEEL,0.92,0.77,0.86,0.9
926,RAMCOIND,0.94,0.78,0.98,0.95
927,SDBL,0.95,0.84,0.9,0.93
928,NITINSPIN,0.95,0.84,0.95,0.95
929,SIRCA,0.48,0.2,0.69,0.56
930,PANAMAPET,0.95,0.91,0.87,0.92
931,GENESYS,0.9,0.8,0.97,0.92
932,BFINVEST,0.96,0.92,0.95,0.96
