,Symbol,Accuracy,Precision,Recall,ROC Score
127,MRF,0.96,0.72,0.95,0.96
128,ABBOTINDIA,0.99,1.0,0.93,0.97
129,SOLARINDS,0.94,0.85,0.97,0.95
130,OIL,0.89,0.84,0.93,0.9
131,INDUSTOWER,0.86,0.76,0.86,0.86
132,AUROPHARMA,0.93,0.78,0.88,0.91
133,CENTRALBK,0.97,0.92,0.94,0.96
134,CONCOR,0.97,0.9,0.96,0.96
135,TORNTPOWER,0.94,0.88,0.92,0.93
136,PATANJALI,0.68,0.38,0.39,0.58
137,LTTS,0.96,0.86,0.91,0.94
138,IDFCFIRSTB,0.93,0.54,0.47,0.72
139,GMRINFRA,0.84,0.65,0.9,0.85
140,PIIND,0.98,0.79,1.0,0.99
141,RVNL,0.93,0.94,0.84,0.91
142,MUTHOOTFIN,0.98,0.87,1.0,0.99
143,PGHH,0.98,0.69,1.0,0.99
144,ASTRAL,0.97,0.89,0.94,0.96
145,SAIL,0.94,0.86,0.98,0.95
146,BHARATFORG,0.96,0.86,0.95,0.96
147,ASHOKLEY,0.97,0.93,0.93,0.96
148,MPHASIS,0.95,0.8,0.98,0.96
149,FACT,0.97,0.92,0.98,0.97
150,TATACOMM,0.96,0.87,0.92,0.94
151,ACC,0.95,0.88,0.88,0.92
152,JSL,0.94,0.84,0.96,0.95
153,SJVN,0.96,0.91,0.95,0.96
154,PHOENIXLTD,0.91,0.83,0.9,0.91
155,SUPREMEIND,0.96,0.88,0.92,0.95
156,LINDEINDIA,0.97,0.88,1.0,0.98
157,OBEROIRLTY,0.94,0.94,0.74,0.86
158,SCHAEFFLER,0.87,0.69,0.74,0.82
159,ABCAPITAL,0.93,0.83,0.86,0.91
160,PSB,0.95,0.84,0.98,0.96
161,UBL,0.84,0.56,0.64,0.76
162,JSWINFRA,0.56,0.4,0.95,0.67
163,TATAELXSI,0.97,0.71,1.0,0.98
164,PRESTIGE,0.89,0.96,0.73,0.86
165,BALKRISIND,0.95,0.81,0.91,0.93
166,KPITTECH,0.95,0.86,0.91,0.94
167,MAHABANK,1.0,0.98,1.0,1.0
168,AWL,0.91,0.73,0.71,0.83
169,NYKAA,0.79,0.46,0.6,0.72
170,MAZDOCK,0.88,0.78,0.83,0.87
171,MRPL,0.92,0.81,0.88,0.91
172,POLICYBZR,0.65,0.46,0.89,0.72
173,SUNDARMFIN,0.89,0.88,0.73,0.85
174,PETRONET,0.93,0.78,0.98,0.95
175,THERMAX,0.95,0.9,0.94,0.94
