,Date,Symbol,Adj Close,Target_Close,Target,Predictions
0,2024-11-06,RELIANCE,1325.3499755859375,1260.75,0,0
1,2024-11-07,RELIANCE,1305.6500244140625,1241.6500244140625,0,0
2,2024-11-08,RELIANCE,1283.75,1223.0,0,0
3,2024-11-11,RELIANCE,1272.699951171875,1265.4000244140625,0,0
4,2024-11-12,RELIANCE,1274.25,1287.0,0,0
5,2024-11-13,RELIANCE,1252.050048828125,1295.699951171875,0,0
6,2024-11-14,RELIANCE,1267.5999755859375,1293.199951171875,0,0
7,2024-11-18,RELIANCE,1260.75,1270.800048828125,0,0
8,2024-11-19,RELIANCE,1241.6500244140625,1292.199951171875,0,0
9,2024-11-21,RELIANCE,1223.0,1309.1500244140625,1,0
10,2024-11-22,RELIANCE,1265.4000244140625,1323.300048828125,0,0
11,2024-11-25,RELIANCE,1287.0,1308.949951171875,0,0
12,2024-11-26,RELIANCE,1295.699951171875,1322.050048828125,0,0
13,2024-11-27,RELIANCE,1293.199951171875,1311.550048828125,0,0
14,2024-11-28,RELIANCE,1270.800048828125,,0,0
15,2024-11-29,RELIANCE,1292.199951171875,,0,0
16,2024-12-02,RELIANCE,1309.1500244140625,,0,0
17,2024-12-03,RELIANCE,1323.300048828125,,0,0
18,2024-12-04,RELIANCE,1308.949951171875,,0,0
19,2024-12-05,RELIANCE,1322.050048828125,,0,0
20,2024-12-06,RELIANCE,1311.550048828125,,0,0
21,2024-11-06,TCS,4139.64990234375,4019.5,0,0
22,2024-11-07,TCS,4150.89990234375,4039.550048828125,0,0
23,2024-11-08,TCS,4147.0,4072.85009765625,0,0
24,2024-11-11,TCS,4198.7001953125,4244.60009765625,0,0
25,2024-11-12,TCS,4197.39990234375,4315.10009765625,0,0
26,2024-11-13,TCS,4150.35009765625,4352.7001953125,0,0
27,2024-11-14,TCS,4145.89990234375,4332.5498046875,0,0
28,2024-11-18,TCS,4019.5,4244.89990234375,1,0
29,2024-11-19,TCS,4039.550048828125,4270.85009765625,1,0
30,2024-11-21,TCS,4072.85009765625,4276.64990234375,1,0
31,2024-11-22,TCS,4244.60009765625,4302.75,0,0
32,2024-11-25,TCS,4315.10009765625,4354.39990234375,0,0
33,2024-11-26,TCS,4352.7001953125,4464.0498046875,0,0
34,2024-11-27,TCS,4332.5498046875,4445.5,0,0
35,2024-11-28,TCS,4244.89990234375,,0,0
36,2024-11-29,TCS,4270.85009765625,,0,0
37,2024-12-02,TCS,4276.64990234375,,0,0
38,2024-12-03,TCS,4302.75,,0,0
39,2024-12-04,TCS,4354.39990234375,,0,1
40,2024-12-05,TCS,4464.0498046875,,0,1
41,2024-12-06,TCS,4445.5,,0,1
42,2024-11-06,HDFCBANK,1755.25,1705.0999755859375,0,1
43,2024-11-07,HDFCBANK,1746.550048828125,1742.25,0,0
44,2024-11-08,HDFCBANK,1754.449951171875,1741.199951171875,0,0
45,2024-11-11,HDFCBANK,1766.300048828125,1745.5999755859375,0,0
46,2024-11-12,HDFCBANK,1718.199951171875,1785.5999755859375,0,0
47,2024-11-13,HDFCBANK,1681.3499755859375,1785.550048828125,1,0
48,2024-11-14,HDFCBANK,1692.75,1812.300048828125,1,0
49,2024-11-18,HDFCBANK,1705.0999755859375,1793.1500244140625,1,0
50,2024-11-19,HDFCBANK,1742.25,1796.050048828125,0,1
51,2024-11-21,HDFCBANK,1741.199951171875,1804.699951171875,0,1
52,2024-11-22,HDFCBANK,1745.5999755859375,1826.300048828125,0,0
53,2024-11-25,HDFCBANK,1785.5999755859375,1860.0999755859375,0,0
54,2024-11-26,HDFCBANK,1785.550048828125,1865.75,0,0
55,2024-11-27,HDFCBANK,1812.300048828125,1855.8499755859375,0,0
56,2024-11-28,HDFCBANK,1793.1500244140625,,0,0
57,2024-11-29,HDFCBANK,1796.050048828125,,0,0
58,2024-12-02,HDFCBANK,1804.699951171875,,0,0
59,2024-12-03,HDFCBANK,1826.300048828125,,0,0
60,2024-12-04,HDFCBANK,1860.0999755859375,,0,1
61,2024-12-05,HDFCBANK,1865.75,,0,0
62,2024-12-06,HDFCBANK,1855.8499755859375,,0,0
63,2024-11-06,ICICIBANK,1302.3499755859375,1253.449951171875,0,0
64,2024-11-07,ICICIBANK,1278.699951171875,1249.0999755859375,0,0
65,2024-11-08,ICICIBANK,1258.8499755859375,1250.550048828125,0,0
66,2024-11-11,ICICIBANK,1269.300048828125,1278.050048828125,0,0
67,2024-11-12,ICICIBANK,1270.5999755859375,1300.949951171875,0,0
68,2024-11-13,ICICIBANK,1253.699951171875,1304.949951171875,0,0
69,2024-11-14,ICICIBANK,1256.949951171875,1300.699951171875,0,0
70,2024-11-18,ICICIBANK,1253.449951171875,1286.3499755859375,0,0
71,2024-11-19,ICICIBANK,1249.0999755859375,1300.0999755859375,0,1
72,2024-11-21,ICICIBANK,1250.550048828125,1304.6500244140625,0,1
73,2024-11-22,ICICIBANK,1278.050048828125,1308.4000244140625,0,0
74,2024-11-25,ICICIBANK,1300.949951171875,1316.050048828125,0,0
75,2024-11-26,ICICIBANK,1304.949951171875,1336.5,0,0
76,2024-11-27,ICICIBANK,1300.699951171875,1328.75,0,0
77,2024-11-28,ICICIBANK,1286.3499755859375,,0,0
78,2024-11-29,ICICIBANK,1300.0999755859375,,0,0
79,2024-12-02,ICICIBANK,1304.6500244140625,,0,0
80,2024-12-03,ICICIBANK,1308.4000244140625,,0,0
81,2024-12-04,ICICIBANK,1316.050048828125,,0,0
82,2024-12-05,ICICIBANK,1336.5,,0,0
83,2024-12-06,ICICIBANK,1328.75,,0,0
84,2024-11-06,INFY,1823.699951171875,1811.449951171875,0,0
85,2024-11-07,INFY,1803.050048828125,1824.75,0,0
86,2024-11-08,INFY,1829.949951171875,1834.050048828125,0,0
87,2024-11-11,INFY,1860.0999755859375,1902.25,0,0
88,2024-11-12,INFY,1868.800048828125,1889.699951171875,0,0
89,2024-11-13,INFY,1868.4000244140625,1924.1500244140625,0,0
90,2024-11-14,INFY,1864.550048828125,1924.5,0,0
91,2024-11-18,INFY,1811.449951171875,1856.6500244140625,0,0
92,2024-11-19,INFY,1824.75,1857.8499755859375,0,0
93,2024-11-21,INFY,1834.050048828125,1879.800048828125,0,0
94,2024-11-22,INFY,1902.25,1892.0999755859375,0,0
95,2024-11-25,INFY,1889.699951171875,1889.25,0,0
96,2024-11-26,INFY,1924.1500244140625,1934.8499755859375,0,0
97,2024-11-27,INFY,1924.5,1922.4000244140625,0,0
98,2024-11-28,INFY,1856.6500244140625,,0,0
99,2024-11-29,INFY,1857.8499755859375,,0,0
100,2024-12-02,INFY,1879.800048828125,,0,0
101,2024-12-03,INFY,1892.0999755859375,,0,0
102,2024-12-04,INFY,1889.25,,0,1
103,2024-12-05,INFY,1934.8499755859375,,0,1
104,2024-12-06,INFY,1922.4000244140625,,0,1
105,2024-11-06,SBIN,854.7999877929688,814.2999877929688,0,0
106,2024-11-07,SBIN,859.5999755859375,803.0,0,0
107,2024-11-08,SBIN,843.1500244140625,780.75,0,0
108,2024-11-11,SBIN,847.6500244140625,816.0499877929688,0,0
109,2024-11-12,SBIN,826.7000122070312,844.4500122070312,0,0
110,2024-11-13,SBIN,808.6500244140625,839.4000244140625,0,0
111,2024-11-14,SBIN,804.25,834.0999755859375,0,0
112,2024-11-18,SBIN,814.2999877929688,838.8499755859375,0,0
113,2024-11-19,SBIN,803.0,838.9500122070312,0,0
114,2024-11-21,SBIN,780.75,836.4000244140625,1,0
115,2024-11-22,SBIN,816.0499877929688,853.9500122070312,0,0
116,2024-11-25,SBIN,844.4500122070312,859.7000122070312,0,1
117,2024-11-26,SBIN,839.4000244140625,865.4500122070312,0,1
118,2024-11-27,SBIN,834.0999755859375,863.6500244140625,0,0
119,2024-11-28,SBIN,838.8499755859375,,0,1
120,2024-11-29,SBIN,838.9500122070312,,0,1
121,2024-12-02,SBIN,836.4000244140625,,0,0
122,2024-12-03,SBIN,853.9500122070312,,0,0
123,2024-12-04,SBIN,859.7000122070312,,0,0
124,2024-12-05,SBIN,865.4500122070312,,0,0
125,2024-12-06,SBIN,863.6500244140625,,0,0
126,2024-11-06,BHARTIARTL,1598.800048828125,1537.0,0,0
127,2024-11-07,BHARTIARTL,1575.800048828125,1525.5,0,0
128,2024-11-08,BHARTIARTL,1569.9000244140625,1525.1500244140625,0,0
129,2024-11-11,BHARTIARTL,1560.550048828125,1569.300048828125,0,0
130,2024-11-12,BHARTIARTL,1555.6500244140625,1578.75,0,0
131,2024-11-13,BHARTIARTL,1550.449951171875,1577.25,0,0
132,2024-11-14,BHARTIARTL,1550.5,1577.6500244140625,0,0
133,2024-11-18,BHARTIARTL,1537.0,1560.4000244140625,0,0
134,2024-11-19,BHARTIARTL,1525.5,1627.1500244140625,1,0
135,2024-11-21,BHARTIARTL,1525.1500244140625,1643.5999755859375,1,0
136,2024-11-22,BHARTIARTL,1569.300048828125,1620.550048828125,0,0
137,2024-11-25,BHARTIARTL,1578.75,1584.0999755859375,0,0
138,2024-11-26,BHARTIARTL,1577.25,1615.3499755859375,0,0
139,2024-11-27,BHARTIARTL,1577.6500244140625,1597.8499755859375,0,0
140,2024-11-28,BHARTIARTL,1560.4000244140625,,0,0
141,2024-11-29,BHARTIARTL,1627.1500244140625,,0,0
142,2024-12-02,BHARTIARTL,1643.5999755859375,,0,0
143,2024-12-03,BHARTIARTL,1620.550048828125,,0,0
144,2024-12-04,BHARTIARTL,1584.0999755859375,,0,0
145,2024-12-05,BHARTIARTL,1615.3499755859375,,0,0
146,2024-12-06,BHARTIARTL,1597.8499755859375,,0,0
147,2024-11-06,LICI,945.25,901.75,0,0
148,2024-11-07,LICI,929.7000122070312,896.6500244140625,0,0
149,2024-11-08,LICI,914.6500244140625,881.9500122070312,0,0
150,2024-11-11,LICI,918.4500122070312,889.5,0,0
151,2024-11-12,LICI,921.1500244140625,905.0499877929688,0,0
152,2024-11-13,LICI,897.9000244140625,907.2000122070312,0,0
153,2024-11-14,LICI,908.6500244140625,916.2999877929688,0,0
154,2024-11-18,LICI,901.75,938.5999755859375,0,0
155,2024-11-19,LICI,896.6500244140625,985.5,1,0
156,2024-11-21,LICI,881.9500122070312,983.7999877929688,1,0
157,2024-11-22,LICI,889.5,969.75,1,0
158,2024-11-25,LICI,905.0499877929688,971.3499755859375,1,0
159,2024-11-26,LICI,907.2000122070312,976.9000244140625,1,0
160,2024-11-27,LICI,916.2999877929688,983.25,1,0
161,2024-11-28,LICI,938.5999755859375,,0,0
162,2024-11-29,LICI,985.5,,0,0
163,2024-12-02,LICI,983.7999877929688,,0,0
164,2024-12-03,LICI,969.75,,0,0
165,2024-12-04,LICI,971.3499755859375,,0,0
166,2024-12-05,LICI,976.9000244140625,,0,0
167,2024-12-06,LICI,983.25,,0,0
168,2024-11-06,HINDUNILVR,2500.699951171875,2422.89990234375,0,0
169,2024-11-07,HINDUNILVR,2475.5,2410.35009765625,0,0
170,2024-11-08,HINDUNILVR,2507.699951171875,2382.800048828125,0,0
171,2024-11-11,HINDUNILVR,2491.050048828125,2445.25,0,0
172,2024-11-12,HINDUNILVR,2461.5,2471.449951171875,0,0
173,2024-11-13,HINDUNILVR,2464.949951171875,2479.199951171875,0,0
174,2024-11-14,HINDUNILVR,2389.199951171875,2486.89990234375,0,0
175,2024-11-18,HINDUNILVR,2422.89990234375,2462.199951171875,0,0
