,Symbol,Accuracy,Precision,Recall,ROC Score
389,FINEORG,0.94,0.82,0.94,0.94
390,JKTYRE,0.92,0.82,0.93,0.92
391,IFCI,0.95,0.97,0.92,0.95
392,BEML,0.93,0.93,0.95,0.93
393,IEX,0.95,0.94,0.93,0.95
394,BIRLACORPN,0.99,1.0,0.94,0.97
395,RAINBOW,0.82,0.67,0.69,0.78
396,TITAGARH,0.87,0.81,0.87,0.87
397,AKZOINDIA,0.96,0.82,0.9,0.93
398,HAPPSTMNDS,0.95,0.88,0.71,0.85
399,WESTLIFE,0.97,0.88,0.82,0.9
400,TEJASNET,0.98,0.96,0.98,0.98
401,VTL,0.92,0.81,0.93,0.92
402,KIRLOSENG,0.92,0.87,1.0,0.92
403,MAHSEAMLES,0.97,0.81,0.94,0.96
404,INTELLECT,0.94,0.91,0.93,0.94
405,RAILTEL,0.76,0.77,0.79,0.76
406,ENGINERSIN,0.68,0.65,0.72,0.68
407,PTCIL,0.6,0.52,0.98,0.64
408,BBTC,0.94,0.85,1.0,0.96
409,MMTC,0.94,0.95,0.9,0.93
410,ZENSARTECH,0.95,0.88,0.98,0.95
411,NUVOCO,0.89,0.67,0.74,0.83
412,SPLPETRO,0.57,0.32,0.62,0.59
413,SFL,0.97,0.83,1.0,0.98
414,BAJAJELEC,0.99,1.0,0.94,0.97
415,NETWORK18,0.94,0.89,0.8,0.89
416,ANANTRAJ,0.95,0.93,0.97,0.95
417,GRINFRA,0.79,0.66,0.78,0.79
418,CAPLIPOINT,0.93,0.82,0.98,0.95
419,ERIS,0.94,0.69,1.0,0.97
420,RTNINDIA,0.44,0.36,0.44,0.44
421,UTIAMC,0.87,0.68,0.79,0.84
422,PCBL,0.89,0.77,0.86,0.88
423,EQUITASBNK,0.91,0.79,0.81,0.88
424,ELECON,0.94,0.85,1.0,0.95
425,AETHER,0.94,0.85,0.82,0.89
426,RAYMOND,0.95,0.91,0.98,0.96
427,SPARC,0.98,0.98,0.95,0.97
428,CEATLTD,0.83,0.81,0.57,0.76
429,ECLERX,0.99,0.93,1.0,0.99
430,COCHINSHIP,0.91,0.89,0.97,0.9
431,AAVAS,0.92,0.8,0.8,0.88
432,ALKYLAMINE,0.94,0.86,0.89,0.92
433,UJJIVANSFB,0.95,0.87,0.68,0.83
434,LEMONTREE,0.92,0.8,0.95,0.93
435,ELECTCAST,0.93,0.93,0.91,0.93
436,CANFINHOME,0.97,0.9,0.96,0.97
437,KFINTECH,0.77,0.64,0.91,0.8
438,NEWGEN,0.95,0.95,0.92,0.94
439,LATENTVIEW,0.88,0.71,0.83,0.86
440,JKLAKSHMI,0.95,0.96,0.81,0.9
441,GLS,0.89,0.85,0.71,0.83
442,GRAPHITE,0.94,0.78,1.0,0.96
443,SCI,0.9,0.89,0.88,0.9
444,RATEGAIN,0.83,0.73,0.68,0.79
445,INGERRAND,0.91,0.77,1.0,0.94
446,PNCINFRA,0.96,0.91,0.98,0.97
447,GPIL,0.95,0.98,0.9,0.94
448,TTKPRESTIG,0.95,0.86,0.89,0.93
449,GRANULES,0.93,0.84,0.98,0.95
450,EIDPARRY,0.94,0.92,0.9,0.93
451,DATAPATTNS,0.81,0.81,0.71,0.8
452,MAPMYINDIA,0.89,0.74,0.86,0.88
453,RPOWER,0.97,0.93,0.98,0.97
454,CUB,0.98,0.94,0.97,0.98
455,RENUKA,0.96,0.88,0.88,0.93
456,ZYDUSWELL,0.95,0.89,0.98,0.96
457,ROUTE,0.93,0.71,0.75,0.85
458,TV18BRDCST,0.97,0.93,0.9,0.94
459,SAFARI,0.97,0.89,1.0,0.98
460,JMFINANCIL,0.95,0.92,0.96,0.96
461,GODREJAGRO,0.99,0.96,1.0,0.99
462,USHAMART,0.97,0.94,0.98,0.98
463,ANURAS,0.91,0.45,0.75,0.84
464,JUBLPHARMA,0.83,0.69,0.77,0.82
465,INFIBEAM,0.97,0.91,0.98,0.97
466,MINDACORP,0.96,1.0,0.82,0.91
467,GSFC,0.93,0.88,0.9,0.92
468,GNFC,0.93,0.78,0.84,0.9
469,CERA,0.97,0.9,0.96,0.97
470,IBULHSGFIN,0.93,0.87,0.82,0.89
471,GRSE,0.92,0.89,0.92,0.92
472,RELINFRA,0.77,0.64,0.65,0.74
473,PRAJIND,0.96,0.89,0.98,0.96
474,GPPL,0.94,0.93,0.91,0.93
475,SBFC,0.83,0.18,0.11,0.52
476,RAJESHEXPO,0.87,0.56,0.96,0.9
