date,symbol,close,change,market cap,eps,ma50,diff50,ma200,diff200,industry
15th Feb,STARCEMENT,213.35,6.20,8623.19,7.52,180.44,18.24,158.46,34.64,cement - north india
15th Feb,SAPPHIRE,1339.95,-1.36,8534.12,29.26,1412.37,-5.13,1389.23,-3.55,hotels
15th Feb,PGHL,5136.80,-2.41,8526.77,136.52,5126.43,0.202,5105.24,0.618,pharmaceuticals - multinational
15th Feb,MAHSCOOTER,7440.95,-0.149,8503.94,175.03,7660.40,-2.86,6772.89,9.86,finance & investments
15th Feb,KTKBANK,244.15,0.287,8465.85,43.55,245.90,-0.713,212.05,15.14,banks - private sector
15th Feb,GENUSPOWER,277.40,5.00,8426.15,2.22,254.54,8.98,207.60,33.62,electronics - components
15th Feb,POWERMECH,5297.50,1.39,8374.37,158.53,4668.71,13.47,3988.79,32.81,engineering - turnkey services
15th Feb,GAEL,365.05,-1.14,8371.89,14.12,367.38,-0.634,306.34,19.17,solvent extraction
15th Feb,TECHNOE,774.25,-0.219,8332.40,23.01,780.37,-0.784,553.40,39.91,engineering - turnkey services
15th Feb,RCF,150.40,2.80,8297.39,5.24,164.25,-8.43,129.58,16.07,fertilizers
15th Feb,EMIL,215.55,-1.37,8293.26,4.67,213.22,1.09,148.10,45.55,trading
15th Feb,ESABINDIA,5352.95,-0.930,8239.81,103.30,5697.55,-6.05,5038.24,6.25,electrodes - welding equipment
15th Feb,HOMEFIRST,929.15,-0.657,8209.23,32.49,975.90,-4.79,866.34,7.25,finance - housing
15th Feb,JLHL,1247.85,2.18,8181.66,25.20,1119.49,11.47,NaN,NaN,healthcare
15th Feb,MHRIL,405.15,0.409,8181.50,4.47,394.69,2.65,366.91,10.42,hotels
15th Feb,RESPONIND,305.80,5.56,8162.19,5.22,303.57,0.735,257.48,18.77,plastics products
15th Feb,MANINFRA,218.15,-2.13,8098.83,8.53,217.50,0.298,153.51,42.11,construction
15th Feb,TVSSCS,183.60,2.40,8074.36,-3.02,196.66,-6.64,NaN,NaN,miscellaneous
15th Feb,SHOPERSTOP,734.40,-0.589,8073.57,6.23,708.72,3.62,725.80,1.19,textiles - products
15th Feb,NETWEB,1434,2.94,8039.72,10.55,1291.88,11.00,NaN,NaN,computers - software - medium / small
15th Feb,SARDAEN,225.95,0.556,7962.05,90.20,245.42,-7.93,198.74,13.69,steel - medium / small
15th Feb,SANDUMA,489.40,-9.80,7929.99,89,2244.46,-78.20,NaN,NaN,mining / minerals / metals
15th Feb,THOMASCOOK,168.25,5.85,7914.15,4.20,157.53,6.81,116.98,43.83,travel agencies
15th Feb,ARVIND,301.75,7.79,7893.95,12.80,273.17,10.46,186.72,61.61,textiles - cotton/blended
15th Feb,MIDHANI,418.50,0.120,7840.18,5.96,431.99,-3.12,362.08,15.58,steel - medium / small
15th Feb,VAIBHAVGBL,473.15,-2.12,7830.25,7.87,440.42,7.43,390.08,21.30,diamond cutting / jewellery
15th Feb,ACI,631.50,-0.817,7792.52,32.32,628.44,0.487,581.39,8.62,chemicals
15th Feb,RELIGARE,235.40,0.192,7756.10,110.98,221.90,6.09,208.58,12.86,finance & investments
15th Feb,KRBL,338.05,0.282,7737.62,25.65,362.60,-6.77,375.96,-10.08,food - processing - indian
15th Feb,VARROC,499.80,0.634,7636.26,33.30,545.73,-8.42,436.26,14.56,auto ancillaries
15th Feb,SHRIPISTON,1731.90,-1.94,7628.99,138.96,1474.95,17.42,1135.30,52.55,auto ancillaries
15th Feb,KNRCON,271.10,0.148,7624.27,20.32,266.65,1.67,260.60,4.03,construction
15th Feb,JUBLINGREA,478.55,-1.21,7622.40,13,472.47,1.29,447.58,6.92,chemicals
15th Feb,MEDPLUS,636.75,5.61,7599.75,4.93,719.76,-11.53,789.60,-19.36,trading
15th Feb,VIPIND,533.85,0.726,7577.22,5.22,575.27,-7.20,619.31,-13.80,moulded luggage
15th Feb,RUSTOMJEE,661.90,-1.33,7537.75,13.89,654.77,1.09,581.77,13.77,construction
15th Feb,SAREGAMA,390.80,8.74,7534.99,9.75,362.03,7.95,366.35,6.67,entertainment / electronic media software
15th Feb,BALRAMCHIN,373.10,0.729,7527.26,28.92,392.42,-4.92,405.16,-7.91,sugar
15th Feb,PDSL,568,-1.09,7488.54,11.84,564.47,0.626,455.56,24.68,trading
15th Feb,HMT,62.10,4.99,7477.41,-3.48,56.50,9.91,42.26,46.96,engineering
15th Feb,STAR,813.20,0.793,7472.15,-10.96,660.69,23.08,499.07,62.94,pharmaceuticals - indian - bulk drugs & formln
15th Feb,TMB,471.75,-1.66,7470.23,67.70,502.16,-6.06,490.89,-3.90,banks - private sector
15th Feb,TEXRAIL,193.35,1.31,7411.85,2.65,184.61,4.74,125.42,54.17,engineering
15th Feb,FDC,453.90,1.78,7389.95,17.55,415.67,9.20,367.48,23.52,pharmaceuticals - indian - bulk drugs & formln
15th Feb,VOLTAMP,7289.45,-0.138,7374.82,287.04,6874.49,6.04,5134.42,41.97,electric equipment
15th Feb,TRIVENI,335.95,0.931,7353.88,18.78,339.38,-1.01,326.67,2.84,sugar
15th Feb,MARKSANS,162,2.14,7341.25,7.17,158.31,2.33,118.66,36.52,pharmaceuticals - indian - formulations
15th Feb,VESUVIUS,3613.35,0.266,7333.68,104.90,3582.52,0.861,3113.01,16.07,refractories / intermediates
15th Feb,CAMPUS,239.90,-1.17,7323.09,3.38,274.45,-12.59,297.14,-19.26,leather / leather products
15th Feb,QUESS,492.90,0.438,7318.50,14.62,500.34,-1.49,446.19,10.47,diversified - large
15th Feb,INDIACEM,235.60,0.319,7301.18,-12.83,254.29,-7.35,228.90,2.93,cement - south india
15th Feb,JUSTDIAL,854.40,1.88,7264.83,39.02,819.69,4.23,758.93,12.58,miscellaneous
15th Feb,IWEL,6026.55,5.00,7260.53,-210.48,5359.25,12.45,3164.22,90.46,power generation and supply
15th Feb,BALAMINES,2234.55,3.00,7240.17,56.86,2404.12,-7.05,2241.92,-0.329,chemicals
15th Feb,SOUTHBANK,34.50,1.47,7219.96,5.33,29.86,15.54,23.88,44.49,banks - private sector
15th Feb,KIRLOSBROS,901.20,-1.44,7156.33,37.30,916.74,-1.69,798.42,12.87,pumps
15th Feb,INDIGOPNTS,1499.60,2.83,7141.24,29.90,1467.12,2.21,1468.46,2.12,paints / varnishes
15th Feb,CHEMPLASTS,451.30,-0.485,7135.49,-5.14,485.08,-6.96,466.87,-3.33,chemicals
15th Feb,LXCHEM,258.10,0.116,7106.40,3.76,276.29,-6.58,271.79,-5.04,chemicals
15th Feb,IONEXCHANG,483.40,-1.62,7089.86,104.54,553.56,-12.67,493.49,-2.05,engineering
15th Feb,NAVA,487.80,0.681,7078.01,67.79,461.91,5.61,383.49,27.20,diversified - large
15th Feb,BORORENEW,539.20,-1.46,7038.33,0.860,501.92,7.43,475.50,13.40,glass & glass products
15th Feb,GARFIBRES,3449.50,-0.348,7029.45,97.01,3435.96,0.394,3213.04,7.36,textiles - products
15th Feb,SPANDANA,985.30,0.183,7013.09,67.24,1065.89,-7.56,856.56,15.03,finance & investments
15th Feb,AVANTIFEED,512.90,0.766,6988.04,25.43,471.64,8.75,421.12,21.79,food - processing - indian
15th Feb,SURYAROSNI,642,0.266,6986.11,55.42,694.46,-7.55,513.51,25.02,steel - large
15th Feb,ZENTEC,829.65,0.393,6972.73,13.86,777.29,6.74,655.28,26.61,computers - software - medium / small
15th Feb,JINDWORLD,345.50,-0.946,6927.98,3.69,309.15,11.76,340.19,1.56,textiles - products
15th Feb,INDIASHLTR,643.90,-1.42,6893.02,33.33,NaN,NaN,NaN,NaN,finance - housing
15th Feb,EDELWEISS,72.75,3.63,6865.89,4.46,74.93,-2.91,58.45,24.47,finance & investments
15th Feb,JSWHL,6183.55,-0.265,6863.51,147.58,5447.47,13.51,4793.83,28.99,finance & investments
15th Feb,UJJIVAN,556.60,1.03,6776.61,67.46,574.06,-3.04,490.66,13.44,finance & investments
15th Feb,SHAREINDIA,1930.15,1.24,6768.18,127.92,1849.40,4.37,1480.92,30.33,finance & investments
15th Feb,SUNTECK,457.80,1.68,6706.09,-4.15,459.80,-0.436,395.92,15.63,construction
15th Feb,TCI,862.55,1.23,6699.51,42.57,852.73,1.15,788.09,9.45,miscellaneous
15th Feb,AHLUCONT,996.35,-0.350,6674.31,36.96,836.47,19.11,717.76,38.81,construction
15th Feb,MSTCLTD,945.70,3.00,6657.73,33.08,769.21,22.94,484.71,95.11,trading
15th Feb,GREENLAM,521,1.07,6646.60,11.01,538.62,-3.27,467.24,11.51,miscellaneous
15th Feb,PRINCEPIPE,598.40,1.67,6615.98,20.07,702.96,-14.87,673.34,-11.13,plastics products
15th Feb,HCC,43.65,1.87,6604.37,2.79,34.83,25.32,26.35,65.66,construction
15th Feb,DBL,450.85,-0.912,6592.10,8.81,395.63,13.96,311.13,44.91,construction
15th Feb,JKPAPER,388.70,1.66,6584.67,66.49,402.22,-3.36,369.09,5.31,paper
15th Feb,SIS,449.05,-0.022,6544.31,20.23,471.98,-4.86,440.68,1.90,miscellaneous
15th Feb,HEG,1694.85,4.13,6541.36,98.08,1802.56,-5.98,1638.73,3.42,electrodes - graphites
15th Feb,PARADEEP,80,3.56,6517.92,1.14,75.14,6.47,66.25,20.76,fertilizers
15th Feb,CSBBANK,374,0.904,6488.37,32.95,392.49,-4.71,334.54,11.80,banks - private sector
15th Feb,ISGEC,881.30,-3.25,6480.16,35.15,985.96,-10.62,764.68,15.25,engineering - turnkey services
15th Feb,GRAVITA,936.65,3.89,6466.44,34.39,1003.68,-6.68,832.70,12.48,mining / minerals / metals
15th Feb,GOCOLORS,1196.80,0.610,6463.80,15.65,1203.91,-0.591,1215.39,-1.53,textiles - products
15th Feb,IBREALEST,119.05,0.295,6448.64,-20.54,97.70,21.85,77.78,53.05,construction
15th Feb,VIJAYA,627.15,-0.072,6416.29,11.05,647.78,-3.19,524.27,19.62,healthcare
15th Feb,DEEPAKFERT,507.90,3.48,6411.62,38.23,631.44,-19.56,605.47,-16.12,chemicals
15th Feb,WOCKPHARMA,444.25,-0.959,6401.71,-34.77,435.95,1.90,284.11,56.37,pharmaceuticals - indian - bulk drugs & formln
15th Feb,GANESHHOUC,763.85,2.92,6369.52,46.45,527.20,44.89,432.90,76.45,construction
15th Feb,HEMIPROP,223.05,1.73,6356.93,-0.220,178.07,25.26,129.86,71.76,construction
15th Feb,NIITMTS,469.35,1.45,6337.47,15.80,437.06,7.39,NaN,NaN,computers - education
15th Feb,AZAD,1071.50,5.53,6333.96,141.94,NaN,NaN,NaN,NaN,engineering
15th Feb,SYMPHONY,913.35,-0.804,6298.19,16.70,909.49,0.424,888.10,2.84,domestic appliances
15th Feb,LTFOODS,181.10,-0.794,6288.75,16.69,200.93,-9.87,168.44,7.52,food - processing - indian
15th Feb,GMMPFAUDLR,1388.10,2.69,6240.51,43.66,1521.36,-8.76,1571.17,-11.65,engineering
15th Feb,NAZARA,848.75,0.432,6222.78,9.49,869.12,-2.34,766.54,10.72,computers - software - medium / small
15th Feb,JPASSOCIAT,25.35,0.198,6222.40,-4.98,21.64,17.13,13.48,88.02,construction
15th Feb,ARVINDFASN,467.40,-2.23,6214.55,7.31,453.34,3.10,362.38,28.98,trading
15th Feb,UTKARSHBNK,56.30,-3.84,6180.47,5,56.42,-0.209,NaN,NaN,banks - private sector
15th Feb,CYIENTDLM,778.10,-2.94,6170.81,7.58,678.00,14.76,NaN,NaN,electronics - components
15th Feb,NESCO,875.25,-0.222,6167.01,48.62,861.04,1.65,717.69,21.95,miscellaneous
15th Feb,ITDCEM,357.70,5.28,6144.84,12.92,303.42,17.89,222.78,60.56,construction
15th Feb,SINDHUTRAD,39.85,-1.85,6144.59,0.960,29.07,37.06,NaN,NaN,miscellaneous
15th Feb,EPL,192.85,0.052,6139.76,8.65,198.00,-2.60,199.47,-3.32,packaging
15th Feb,JAICORPLTD,343.55,5.00,6130.63,2.29,367.19,-6.44,254.82,34.82,plastics products
15th Feb,RAIN,180.80,1.54,6081.13,8.04,159.96,13.03,159.70,13.22,miscellaneous
15th Feb,TIPSINDLTD,472.25,11.97,6064.95,22.03,384.14,22.94,309.49,52.59,entertainment / electronic media software
15th Feb,ASTRAMICRO,638.75,0.165,6064.61,8.56,603.70,5.81,454.72,40.47,telecommunications - equipment
15th Feb,PAISALO,134.85,-1.46,6055.06,3.64,106.89,26.15,73.29,84.00,finance & investments
15th Feb,JAYNECOIND,62.20,4.98,6039.61,2.18,49.30,26.16,35.72,74.16,steel - large
15th Feb,BECTORFOOD,1023.20,-0.650,6018.20,22.85,1155.24,-11.43,1002.52,2.06,food - processing - indian
15th Feb,SENCO,773.90,1.55,6012.23,24.36,751.70,2.95,NaN,NaN,diamond cutting / jewellery
15th Feb,HNDFDS,532.60,-0.718,6004.68,8,547.68,-2.75,552.16,-3.54,food - processing - indian
15th Feb,DODLA,1005.70,-2.07,5983.18,23.95,896.47,12.18,721.05,39.48,food - processing - indian
15th Feb,MOIL,294,-2.63,5982.47,13.91,318.51,-7.69,235.69,24.74,mining / minerals / metals
15th Feb,ITDC,697.45,0.266,5981.99,8.02,556.61,25.30,416.71,67.37,hotels
15th Feb,ASKAUTOLTD,303.05,-0.639,5974.41,7.53,292.56,3.59,NaN,NaN,auto ancillaries
15th Feb,GUJALKALI,813,2.37,5970.42,-16.28,776.22,4.74,715.16,13.68,chlor alkali / soda ash
15th Feb,HGINFRA,915.20,0.060,5964.46,79.72,884.53,3.47,905.85,1.03,construction
15th Feb,PTC,199.35,4.45,5900.93,17.56,201.96,-1.29,144.27,38.18,trading
15th Feb,ETHOSLTD,2399.40,0.834,5873.84,32.43,2215.28,8.31,1728.63,38.80,trading
15th Feb,BLUEJET,337.40,-0.794,5852.72,10.07,359.76,-6.21,NaN,NaN,pharmaceuticals - indian - bulk drugs & formln
15th Feb,MTARTECH,1871.65,7.27,5757.12,26.76,2142.92,-12.66,2202.43,-15.02,engineering
15th Feb,RTNPOWER,10.70,0.469,5746.09,-4.19,10.15,5.39,6.86,56.06,power generation and supply
15th Feb,ROLEXRINGS,2105.95,-0.910,5735.20,65.66,2359.03,-10.73,2207.72,-4.61,auto ancillaries
15th Feb,CMSINFO,366.25,-0.799,5732.21,21.63,379.24,-3.42,363.35,0.798,miscellaneous
15th Feb,LLOYDSENGG,50.05,1.21,5717.53,0.820,46.31,8.08,39.69,26.09,engineering
15th Feb,ORCHPHARMA,1116.10,-0.246,5660.76,26.82,766.31,45.65,569.62,95.94,pharmaceuticals - indian - bulk drugs & formln
15th Feb,KPIGREEN,1405.35,-30.00,5647.88,41.34,1543.10,-8.93,991.95,41.68,power generation and supply
15th Feb,VSTIND,3627,0.167,5600.78,182.67,3538.59,2.50,3451.94,5.07,cigarettes
15th Feb,FUSION,552.90,-0.967,5585.61,49.91,595.23,-7.11,578.00,-4.34,finance & investments
15th Feb,ICRA,5711.25,-0.897,5512.06,148.24,5630.33,1.44,5450.29,4.79,miscellaneous
