date,symbol,close,change,market cap,eps,ma50,diff50,ma200,diff200,industry
15th Feb,TCIEXP,1201.60,-0.257,4606.39,36.12,1361.49,-11.74,1445.72,-16.89,miscellaneous
15th Feb,ADVENZYMES,411.40,0.305,4600.44,12.27,375.44,9.58,323.57,27.14,pharmaceuticals - indian - bulk drugs & formln
15th Feb,JAMNAAUTO,115,1.55,4586.93,6.24,112.70,2.04,110.56,4.02,auto ancillaries
15th Feb,KKCL,741.75,-0.121,4571.05,24.03,761.44,-2.59,678.69,9.29,textiles - products
15th Feb,BBOX,271.65,0.985,4561.13,7.14,273.77,-0.775,211.99,28.14,computers - software - medium / small
15th Feb,TRIL,318.05,4.98,4534.25,0.950,263.10,20.89,158.52,100.64,electric equipment
15th Feb,TI,235.35,-0.947,4527.64,8.77,245.17,-4.00,203.67,15.55,breweries & distilleries
15th Feb,BOROLTD,394.35,-0.992,4518.54,7.44,348.75,13.08,399.38,-1.26,glass & glass products
15th Feb,FCL,407.40,2.76,4511.89,9.48,352.25,15.66,315.28,29.22,chemicals
15th Feb,SHARDAMOTR,1511.20,-1.52,4493.04,91.94,1335.03,13.20,1022.33,47.82,auto ancillaries
15th Feb,WABAG,722.05,-0.069,4490.46,11.28,644.71,12.00,528.63,36.59,engineering
15th Feb,BALMLAWRIE,260.85,2.03,4460.64,13.59,233.73,11.60,166.40,56.76,diversified - large
15th Feb,GULFOILLUB,902.95,5.57,4431.02,57.74,752.89,19.93,587.26,53.76,chemicals
15th Feb,GREENPANEL,359.45,-0.732,4407.84,14.82,389.07,-7.61,357.32,0.597,miscellaneous
15th Feb,KIRLPNU,674.35,-0.355,4366.79,16.28,626.98,7.55,619.99,8.77,compressors / drilling equipment
15th Feb,HATHWAY,24.60,2.07,4354.46,0.290,23.00,6.93,18.39,33.78,telecommunications - service provider
15th Feb,HGS,931.15,-0.118,4331.74,21.77,976.02,-4.60,1020.29,-8.74,computers - software - medium / small
15th Feb,TDPOWERSYS,277.35,-0.663,4331.38,7.99,277.76,-0.146,251.39,10.33,electric equipment
15th Feb,JTLIND,251.95,-0.297,4311.21,10.76,244.47,3.06,207.42,21.47,steel - medium / small
15th Feb,RAMKY,614.60,-1.86,4252.90,191.84,777.53,-20.95,577.21,6.48,construction
15th Feb,DCBBANK,135,1.50,4213.55,16.77,138.13,-2.26,123.17,9.60,banks - private sector
15th Feb,WSTCSTPAPR,634,1.81,4187.50,128.76,709.90,-10.69,628.24,0.917,paper
15th Feb,EPIGRAL,1007.80,1.24,4187.42,47,986.54,2.15,973.67,3.50,chlor alkali / soda ash
15th Feb,ORISSAMINE,6976.50,1.37,4185.90,-17.58,7091.25,-1.62,5200.67,34.15,mining / minerals / metals
15th Feb,SAMHI,191.30,-3.92,4171.02,-29.92,182.48,4.83,NaN,NaN,hotels
15th Feb,ROSSARI,746.50,0.451,4123.41,22.75,790.87,-5.61,797.52,-6.40,chemicals
15th Feb,KIRLOSIND,4131.30,1.75,4086.65,175.03,3749.76,10.18,3310.65,24.79,finance & investments
15th Feb,YATHARTH,474.60,0.668,4074.45,13.18,388.98,22.01,NaN,NaN,healthcare
15th Feb,ORIENTELEC,190.25,-1.32,4059.29,4.08,220.34,-13.66,227.43,-16.35,domestic appliances
15th Feb,AMIORG,1098.95,0.014,4052.99,12.20,1130.51,-2.79,1184.90,-7.25,pharmaceuticals - indian - bulk drugs
15th Feb,SUBROS,620.85,3.35,4050.16,13.11,602.00,3.13,444.23,39.76,auto ancillaries
15th Feb,SSWL,257.15,-1.17,4035.44,13.18,267.57,-3.89,240.22,7.05,auto ancillaries
15th Feb,JISLJALEQS,60.10,1.61,4011.48,16.54,63.20,-4.90,55.16,8.95,plastics products
15th Feb,UNITECH,15.30,4.79,4002.94,-9.59,11.12,37.60,4.40,247.91,construction
15th Feb,SHANTIGEAR,521.20,0.395,3998.43,9.91,550.12,-5.26,476.71,9.33,engineering
15th Feb,MUTHOOTMF,234.35,-0.213,3995.48,31.11,NaN,NaN,NaN,NaN,finance & investments
15th Feb,MAXESTATES,271.25,-0.331,3991.02,-3.07,301.07,-9.90,NaN,NaN,construction
15th Feb,DISHTV,21.50,7.23,3958.70,-8.81,20.34,5.70,18.14,18.53,entertainment / electronic media software
15th Feb,EMUDHRA,475.40,1.07,3936.87,9.21,453.60,4.81,447.64,6.20,computers - software - medium / small
15th Feb,SUDARSCHEM,567.55,6.81,3928.99,48,523.73,8.37,489.12,16.04,dyes and pigments
15th Feb,SUNDARMHLD,176.25,4.44,3914.58,16.31,164.62,7.07,127.52,38.21,finance & investments
15th Feb,VMART,1978.30,-3.64,3912.41,-47.95,2028.00,-2.45,2042.47,-3.14,trading
15th Feb,LAOPALA,349.25,2.78,3876.68,12.01,365.21,-4.37,408.63,-14.53,glass & glass products
15th Feb,SUNFLAG,214.85,6.70,3872.01,7.78,217.07,-1.02,195.73,9.77,steel - medium / small
15th Feb,KSCL,675.25,1.95,3776.12,56.52,647.50,4.29,587.33,14.97,miscellaneous
15th Feb,UNICHEMLAB,533.70,-1.07,3757.55,2.08,454.93,17.32,412.70,29.32,pharmaceuticals - indian - bulk drugs & formln
15th Feb,HMAAGRO,74.85,-0.399,3748.26,14.30,72.43,3.34,NaN,NaN,food - processing - indian
15th Feb,JTEKTINDIA,147.30,-1.93,3745.55,3.43,156.20,-5.70,142.66,3.25,auto ancillaries
15th Feb,IMAGICAA,77.55,-0.513,3737.13,7.53,65.85,17.77,53.96,43.71,recreation / amusement parks
15th Feb,DELTACORP,139.25,0.433,3728.71,8.33,143.65,-3.06,175.47,-20.64,recreation / amusement parks
15th Feb,MUFIN,242.45,1.49,3727.31,2.47,184.96,31.09,NaN,NaN,finance & investments
15th Feb,KALAMANDIR,242,1.47,3711.46,7.23,261.35,-7.40,NaN,NaN,trading
15th Feb,BHARATRAS,8911.65,0.964,3703.03,141.15,9120.43,-2.29,9295.48,-4.13,pesticides / agrochemicals - indian
15th Feb,THANGAMAYL,1348.70,-1.49,3700.72,78.60,1385.60,-2.66,1144.21,17.87,diamond cutting / jewellery
15th Feb,LGBBROSLTD,1176.30,2.66,3692.69,82.15,1276.50,-7.85,1078.19,9.10,auto ancillaries
15th Feb,BOMDYEING,177.85,3.37,3673.22,127.63,162.07,9.74,134.33,32.39,textiles - manmade
15th Feb,GREAVESCOT,158.15,1.80,3669.08,-4.79,153.00,3.36,141.36,11.88,engines
15th Feb,PFOCUS,121.80,1.04,3648.36,-7.27,116.72,4.35,103.06,18.18,entertainment / electronic media software
15th Feb,INOXGREEN,124.20,3.63,3646.59,0.200,119.10,4.28,76.12,63.16,engineering - turnkey services
15th Feb,BCG,18,0.279,3633.34,7.01,19.41,-7.28,20.11,-10.50,computers - software - medium / small
15th Feb,KOLTEPATIL,476.25,-1.27,3619.71,9.83,512.50,-7.07,438.05,8.72,construction
15th Feb,HARSHA,397.25,-0.613,3616.73,11.78,398.95,-0.426,420.66,-5.56,auto ancillaries
15th Feb,DCXINDIA,323.75,-2.26,3606.14,8.67,351.93,-8.01,294.15,10.06,electronics - components
15th Feb,NUCLEUS,1329.25,-5.00,3558.84,77.35,1519.94,-12.55,1207.96,10.04,computers - software - medium / small
15th Feb,LUXIND,1176.40,-0.997,3537.63,34.98,1282.76,-8.29,1418.86,-17.09,textiles - composite
15th Feb,HIKAL,286.45,1.00,3531.95,5.81,294.87,-2.86,294.77,-2.82,pharmaceuticals - indian - bulk drugs
15th Feb,IMFA,654.30,4.30,3530.22,69.01,537.62,21.70,412.16,58.75,mining / minerals / metals
15th Feb,NEOGEN,1337.25,2.15,3527.89,13.22,1450.05,-7.78,1570.96,-14.88,chemicals
15th Feb,MEDIASSIST,508.20,4.10,3499.43,3.60,NaN,NaN,NaN,NaN,miscellaneous
15th Feb,DATAMATICS,590,1.81,3481.24,34.84,708.07,-16.67,599.47,-1.58,computers - software - medium / small
15th Feb,KSL,796.95,1.58,3478.93,58.32,568.62,40.15,462.34,72.37,steel - medium / small
15th Feb,NAVNETEDUL,152.75,2.38,3455.41,7.99,150.09,1.77,143.02,6.80,printing & stationery
15th Feb,APOLLO,122.30,3.47,3453.25,4.25,121.20,0.905,77.71,57.38,electronics - components
15th Feb,SEQUENT,137.75,1.18,3435.95,-5.18,128.50,7.20,100.58,36.95,pharmaceuticals - indian - bulk drugs & formln
15th Feb,HLEGLAS,502.95,0.349,3433.41,7.17,539.19,-6.72,579.47,-13.20,engineering
15th Feb,INDOCO,372.10,2.41,3428.91,10.93,381.39,-2.44,345.77,7.61,pharmaceuticals - indian - bulk drugs & formln
15th Feb,SHARDACROP,379.25,1.38,3421.61,9.67,420.04,-9.71,453.21,-16.32,pesticides / agrochemicals - indian
15th Feb,PILANIINVS,3062.60,2.35,3390.99,189.74,3081.96,-0.628,2348.83,30.39,finance & investments
15th Feb,ESAFSFB,65.40,1.08,3366.66,9.55,69.48,-5.87,NaN,NaN,banks - private sector
15th Feb,KAUSHALYA,967.35,-2.00,3349.99,4.73,168.20,475.12,46.27,1990.53,hotels
15th Feb,ASHAPURMIN,364.35,-2.36,3333.30,28.26,421.06,-13.47,272.46,33.72,mining / minerals / metals
15th Feb,RAJRATAN,653.90,2.48,3319.92,14.16,725.59,-9.88,760.97,-14.07,steel - medium / small
15th Feb,SAGCEM,253.15,-0.236,3308.86,2.70,269.19,-5.96,237.36,6.65,cement - south india
15th Feb,TASTYBITE,12868,-0.119,3301.93,187.24,13910.36,-7.49,14333.28,-10.22,food - processing - indian
15th Feb,BBL,5812.55,0.261,3285.00,194.24,4736.26,22.72,3825.24,51.95,electric equipment
15th Feb,KDDL,2618.15,0.830,3282.41,71.50,2756.13,-5.01,2042.03,28.21,miscellaneous
15th Feb,CARTRADE,700.10,2.18,3280.03,1.43,721.77,-3.00,602.76,16.15,miscellaneous
15th Feb,PRAKASH,182.95,1.19,3276.30,17.72,183.91,-0.524,127.30,43.72,steel - medium / small
15th Feb,SEPC,23.85,-1.24,3270.86,-0.040,22.70,5.07,16.13,47.82,engineering - turnkey services
15th Feb,CARERATING,1097.35,0.032,3267.13,32.31,993.94,10.40,837.62,31.01,miscellaneous
15th Feb,SHILPAMED,373.25,0.054,3239.88,-0.070,349.92,6.67,327.27,14.05,pharmaceuticals - indian - formulations
15th Feb,TVSSRICHAK,4209.55,-1.10,3223.27,139.14,4448.04,-5.36,3623.00,16.19,tyres
15th Feb,GUFICBIO,321.20,-2.98,3220.91,8.49,330.61,-2.85,275.18,16.73,pharmaceuticals - indian - bulk drugs & formln
15th Feb,SHALBY,297.95,-0.700,3218.15,7.58,306.07,-2.65,235.35,26.60,healthcare
15th Feb,DCAL,205.20,6.57,3217.19,-3.04,182.82,12.24,156.72,30.93,pharmaceuticals - indian - bulk drugs & formln
15th Feb,THYROCARE,605.40,1.43,3205.76,12.24,631.75,-4.17,557.29,8.63,healthcare
15th Feb,AVALON,487.60,2.71,3200.41,7.17,524.43,-7.02,519.23,-6.09,electronics - components
15th Feb,DALMIASUG,393.65,-0.417,3186.18,37.72,402.51,-2.20,400.56,-1.73,sugar
15th Feb,NRBBEARING,328,1.44,3179.06,24.92,335.71,-2.30,256.58,27.84,bearings
15th Feb,GOODLUCK,995.90,0.226,3164.36,44.95,998.29,-0.240,696.87,42.91,steel - medium / small
15th Feb,VENUSPIPES,1558.15,6.90,3162.44,36.90,1402.56,11.09,1295.53,20.27,steel - medium / small
15th Feb,GMRP&UI,52.15,3.68,3147.75,-12.23,52.05,0.192,33.14,57.38,engineering - turnkey services
15th Feb,PFS,48.75,0.932,3131.13,2.85,46.33,5.23,29.95,62.77,finance & investments
15th Feb,BANARISUG,2494.45,1.60,3127.97,143.86,2494.77,-0.013,2653.36,-5.99,sugar
15th Feb,SBCL,541.50,-0.697,3119.27,13.86,564.59,-4.09,569.40,-4.90,mining / minerals / metals
15th Feb,HINDWAREAP,429.25,1.38,3103.32,6.59,487.28,-11.91,515.30,-16.70,trading
15th Feb,UFLEX,428.30,-0.649,3092.82,-58.05,466.56,-8.20,439.36,-2.52,packaging
15th Feb,ZAGGLE,253,5.77,3089.05,3.30,229.37,10.30,NaN,NaN,computers - software - medium / small
15th Feb,BAJAJCON,216.30,1.05,3085.00,11.19,218.92,-1.20,215.68,0.289,personal care - indian
15th Feb,PARAGMILK,262.60,-0.793,3082.29,8.80,230.25,14.05,182.66,43.77,food - processing - indian
15th Feb,LUMAXTECH,451.55,0.067,3077.66,15.36,389.86,15.83,367.55,22.85,auto ancillaries
15th Feb,SEAMECLTD,1209.90,-0.095,3076.17,24.85,1072.27,12.84,796.76,51.85,shipping
15th Feb,ACCELYA,2057,4.28,3070.33,87.67,1621.54,26.85,1474.15,39.54,computers - software - medium / small
15th Feb,FIEMIND,2332.50,0.112,3069.53,119.70,2233.30,4.44,1941.18,20.16,auto ancillaries
15th Feb,SAKSOFT,289.35,-3.08,3068.30,9.75,315.53,-8.30,312.58,-7.43,computers - software - medium / small
15th Feb,LANDMARK,746.30,0.702,3068.12,17.36,808.07,-7.64,746.33,-0.004,trading
15th Feb,MAITHANALL,1052.80,2.05,3064.86,104.80,1141.87,-7.80,1062.47,-0.910,mining / minerals / metals
15th Feb,ASHIANA,304.80,0.727,3064.00,7.62,286.01,6.57,225.95,34.90,construction
15th Feb,INNOVACAP,533.25,-2.40,3051.52,16.42,NaN,NaN,NaN,NaN,pharmaceuticals - indian - bulk drugs & formln
15th Feb,VINDHYATEL,2555.55,-0.111,3028.55,232.60,2390.57,6.90,2207.83,15.75,construction
15th Feb,SUNCLAY,1494.75,-1.14,3024.19,-53.53,NaN,NaN,NaN,NaN,auto ancillaries
15th Feb,AXISCADES,722.65,0.305,3019.25,5.81,719.10,0.494,541.68,33.41,computers - software - medium / small
15th Feb,JCHAC,1103.80,-0.800,3001.33,-46.20,1157.57,-4.65,1135.02,-2.75,air-conditioners
15th Feb,IDEAFORGE,698.20,-0.064,2993.59,7.11,777.59,-10.21,NaN,NaN,engineering
15th Feb,SUPRIYA,371.80,3.39,2992.35,14.96,305.31,21.78,269.33,38.05,pharmaceuticals - indian - bulk drugs & formln
15th Feb,NILKAMAL,1999.65,0.548,2983.98,90.43,2177.14,-8.15,2293.01,-12.79,plastics products
15th Feb,GIPCL,197.10,0.127,2981.16,13.04,189.04,4.26,140.41,40.38,power generation and supply
15th Feb,MOLDTKPAC,898.60,0.245,2980.19,22.24,877.09,2.45,935.68,-3.96,plastics products
15th Feb,FILATEX,67.05,4.85,2976.05,2.13,54.23,23.64,46.12,45.38,textiles - manmade
15th Feb,HERITGFOOD,319.70,0.125,2966.69,9.05,295.38,8.23,245.01,30.49,food - processing - indian
15th Feb,MTNL,47.05,9.93,2964.15,-51.30,37.45,25.63,27.09,73.69,telecommunications - service provider
15th Feb,GREENPLY,239.60,0.146,2963.62,4.27,233.65,2.55,186.04,28.79,miscellaneous
15th Feb,SKIPPER,288.10,0.594,2957.93,7.81,252.71,14.00,205.31,40.33,engineering
15th Feb,SANDHAR,490,0.472,2949.34,16.47,482.25,1.61,388.73,26.05,auto ancillaries
15th Feb,APOLLOPIPE,748.75,1.33,2944.70,12.95,694.10,7.87,687.51,8.91,plastics products
15th Feb,AUTOAXLES,1947.55,0.154,2943.13,114.39,2130.60,-8.59,2221.18,-12.32,auto ancillaries
15th Feb,REPCOHOME,470,-1.41,2940.38,61.80,416.23,12.92,360.15,30.50,finance - housing
15th Feb,FLAIR,277.75,2.02,2927.36,12.52,343.70,-19.19,NaN,NaN,printing & stationery
15th Feb,POLYPLEX,928.25,-3.63,2914.01,22.65,1036.23,-10.42,1176.64,-21.11,packaging
15th Feb,SHK,209.75,-0.451,2903.38,6.71,167.84,24.97,143.51,46.16,chemicals
15th Feb,SANGHIIND,112.35,1.90,2902.29,-20.77,126.51,-11.19,104.69,7.32,cement - north india
15th Feb,ISMTLTD,95,1.06,2854.76,5.40,94.76,0.258,83.67,13.54,steel - medium / small
15th Feb,SWARAJENG,2343.10,-2.97,2846.22,113.33,2355.93,-0.545,2103.57,11.39,engines
15th Feb,TATVA,1216.55,-1.53,2845.76,16.85,1472.50,-17.38,1599.69,-23.95,chemicals
15th Feb,PARACABLES,94.25,3.01,2843.38,3.06,92.68,1.69,61.15,54.12,cables - power
15th Feb,MAHLOG,393.60,4.89,2835.34,-5.93,408.77,-3.71,383.30,2.69,miscellaneous
15th Feb,KCP,219.65,-0.159,2831.75,12.80,172.88,27.05,132.98,65.17,cement - south india
15th Feb,PARAS,724,0.326,2823.60,8.43,749.54,-3.41,683.08,5.99,engineering
15th Feb,GTLINFRA,2.20,-4.35,2817.54,-0.950,1.68,31.19,1.09,101.97,telecommunications - equipment
15th Feb,SOTL,406.90,-0.282,2811.70,29.87,366.83,10.92,325.37,25.06,petrochemicals
15th Feb,DIAMONDYD,1177.60,-3.45,2809.71,21.69,1158.53,1.65,926.60,27.09,food - processing - indian
15th Feb,DEN,58.80,-0.927,2806.08,5.64,59.16,-0.615,46.45,26.60,entertainment / electronic media software
15th Feb,SATIN,253.15,2.95,2796.57,44.19,256.13,-1.16,219.05,15.57,finance & investments
15th Feb,VSTTILLERS,3236.60,1.53,2796.27,61.72,3530.24,-8.32,3324.90,-2.66,automobiles - tractors
15th Feb,TIDEWATER,1603.10,-0.100,2793.24,79.07,1448.90,10.64,1182.58,35.56,chemicals
15th Feb,SOMANYCERA,681.15,0.620,2792.96,21.28,710.88,-4.18,688.05,-1.00,ceramics - tiles / sanitaryware
15th Feb,CARYSIL,1034.30,-3.59,2773.57,20.44,893.87,15.71,729.02,41.88,ceramics - tiles / sanitaryware
15th Feb,EMSLIMITED,497.90,-0.629,2764.88,29.12,470.76,5.76,NaN,NaN,construction
15th Feb,SHAKTIPUMP,1495.15,3.14,2748.11,29.54,1152.61,29.72,854.90,74.89,pumps
15th Feb,CIGNITITEC,1006.50,1.19,2747.75,68.82,1049.08,-4.06,923.95,8.93,computers - software - medium / small
15th Feb,INDIAGLYCO,886.40,0.493,2744.43,55.11,836.35,5.99,708.90,25.04,breweries & distilleries
15th Feb,GANECOS,1081.05,3.53,2740.14,15.77,1008.21,7.22,1005.49,7.51,textiles - processing
15th Feb,CUPID,2045.15,4.85,2727.82,18.36,1451.62,40.89,668.46,205.95,miscellaneous
15th Feb,BAJEL,236.55,4.99,2722.74,-0.250,NaN,NaN,NaN,NaN,engineering - turnkey services
15th Feb,HINDOILEXP,205.70,11.49,2720.24,19.84,177.50,15.89,182.30,12.84,oil drilling / allied services
15th Feb,ANUP,2740.40,1.94,2716.05,80.16,2812.26,-2.56,2187.62,25.27,engineering
15th Feb,DOLLAR,478.65,0.875,2714.72,10.16,454.37,5.34,416.94,14.80,textiles - products
15th Feb,STYLAMIND,1599.90,-1.27,2711.52,69.42,1682.01,-4.88,1659.45,-3.59,miscellaneous
15th Feb,BFUTILITIE,714.30,1.81,2690.60,36.65,625.38,14.22,537.68,32.85,power generation and supply
15th Feb,RPGLIFE,1623.45,5.29,2685.03,51.26,1466.63,10.69,1208.12,34.38,pharmaceuticals - indian - bulk drugs & formln
15th Feb,QUICKHEAL,502.55,3.01,2678.82,0.670,417.35,20.41,270.44,85.83,computers - software - medium / small
15th Feb,DREAMFOLKS,503.85,-0.582,2671.71,14.46,540.24,-6.74,555.11,-9.23,miscellaneous
15th Feb,VAKRANGEE,25.20,-1.18,2669.97,0.020,21.99,14.62,18.38,37.11,computers - software - converts
15th Feb,CONFIPET,91.35,-1.67,2641.40,4.13,90.62,0.804,81.67,11.86,miscellaneous
15th Feb,YATRA,168.20,-3.05,2639.33,-0.280,158.51,6.11,NaN,NaN,travel agencies
15th Feb,JINDALPOLY,602.10,-2.66,2636.38,-84.86,637.08,-5.49,653.09,-7.81,textiles - products
15th Feb,PSPPROJECT,730.95,2.07,2631.42,42.62,755.06,-3.19,761.16,-3.97,construction
15th Feb,STYRENIX,1492.50,0.882,2624.65,94.53,1521.17,-1.88,1219.43,22.39,petrochemicals
15th Feb,OPTIEMUS,303.05,-1.70,2601.90,5.80,313.59,-3.36,274.75,10.30,trading
15th Feb,VADILALIND,3611.55,0.766,2595.92,204.64,2721.03,32.73,2624.27,37.62,food - processing - indian
15th Feb,MPSLTD,1517.05,2.07,2595.04,71.90,1640.37,-7.52,1433.10,5.86,computers - software - medium / small
15th Feb,SANGAMIND,513.40,3.01,2579.66,12.26,448.73,14.41,343.49,49.47,textiles - spinning - synthetic / blended
15th Feb,HUHTAMAKI,341,0.828,2575.30,54.24,315.68,8.02,280.84,21.42,packaging
15th Feb,FINOPB,308.85,3.83,2570.07,9.99,292.86,5.46,287.83,7.30,banks - private sector
15th Feb,WENDT,12822.90,-0.193,2564.58,201.80,13711.16,-6.48,12473.84,2.80,abrasives and grinding wheels
15th Feb,MOREPENLAB,50.15,-1.47,2563.51,1.50,48.45,3.50,37.23,34.71,pharmaceuticals - indian - bulk drugs & formln
15th Feb,AJMERA,721.15,5.92,2558.99,25.11,518.50,39.08,408.67,76.46,construction
15th Feb,TARSONS,480.55,0.502,2556.83,10.39,502.80,-4.43,532.51,-9.76,miscellaneous
15th Feb,ARVSMART,563.85,1.02,2554.92,7.80,483.19,16.69,381.29,47.88,construction
15th Feb,PRECWIRE,142.80,0.919,2551.24,3.57,130.84,9.14,108.18,32.00,mining / minerals / metals
15th Feb,SIGACHI,81.20,4.04,2536.89,11.36,65.86,23.28,42.62,90.53,pharmaceuticals - indian - bulk drugs & formln
15th Feb,TCNSBRANDS,399.55,-0.819,2525.59,-39.75,392.10,1.90,397.50,0.514,textiles - products
15th Feb,EVEREADY,347.05,0.029,2522.61,6.10,349.51,-0.703,353.42,-1.80,dry cells
15th Feb,BEPL,101.25,0.198,2519.69,6.45,105.34,-3.88,93.93,7.79,petrochemicals
15th Feb,DHANI,40.85,3.94,2500.62,-8.35,39.90,2.38,39.06,4.59,finance & investments
15th Feb,ALEMBICLTD,97.35,-3.80,2499.77,8.92,94.30,3.23,81.08,20.07,construction
15th Feb,MANINDS,414.05,5.00,2488.57,18.01,336.88,22.91,212.37,94.97,steel - medium / small
15th Feb,BARBEQUE,635.30,0.071,2480.67,-6.20,642.30,-1.09,661.66,-3.98,hotels
15th Feb,PCJEWELLER,53,4.95,2466.64,-14.47,49.76,6.52,33.32,59.06,diamond cutting / jewellery
15th Feb,DIVGIITTS,805.45,0.099,2463.30,14.73,953.33,-15.51,937.86,-14.12,auto ancillaries
15th Feb,GANDHAR,251.20,7.17,2458.49,18.76,264.23,-4.93,NaN,NaN,refineries
15th Feb,INDOSTAR,180.30,-1.04,2453.51,11.50,183.49,-1.74,168.12,7.24,finance & investments
15th Feb,UNIPARTS,543.20,-0.776,2451.67,31.94,565.39,-3.92,580.42,-6.41,engineering
15th Feb,UGROCAP,264.70,-0.339,2451.12,11.82,272.65,-2.92,263.75,0.360,finance & investments
15th Feb,APCOTEXIND,470.70,2.85,2440.34,11.92,497.74,-5.43,512.30,-8.12,miscellaneous
15th Feb,VENKEYS,1732.10,-3.22,2440.07,50.26,1945.13,-10.95,1889.91,-8.35,miscellaneous
15th Feb,MUKANDLTD,167.85,-0.208,2425.36,13.77,184.02,-8.79,159.87,4.99,steel - large
15th Feb,SASKEN,1604.45,-0.317,2414.84,52.22,1419.65,13.02,1117.88,43.53,computers - software - medium / small
15th Feb,IOLCP,411.25,1.09,2414.26,29.22,449.42,-8.49,432.96,-5.01,pharmaceuticals - indian - bulk drugs & formln
15th Feb,GREENPOWER,24.55,-4.66,2407.68,0.550,24.37,0.726,16.09,52.58,power generation and supply
15th Feb,BSHSL,228.55,-2.02,2398.34,2.01,259.98,-12.09,268.09,-14.75,miscellaneous
15th Feb,XPROINDIA,1159.95,-1.63,2397.88,18.40,1116.94,3.85,951.98,21.85,plastics products
15th Feb,KINGFA,1978.20,1.45,2395.69,103.70,2207.39,-10.38,2155.80,-8.24,plastics products
15th Feb,VPRPL,191.05,1.06,2381.32,9.73,212.34,-10.03,NaN,NaN,construction
15th Feb,HLVLTD,36,-0.415,2373.34,0.360,31.03,16.02,20.13,78.80,hotels
15th Feb,THEJO,2207.05,9.33,2370.21,44.64,1888.80,16.85,NaN,NaN,engineering
15th Feb,IRMENERGY,577.15,4.94,2369.76,25.01,525.16,9.90,NaN,NaN,miscellaneous
15th Feb,ARTEMISMED,172.95,-1.14,2349.71,3.36,178.81,-3.28,140.21,23.35,healthcare
15th Feb,GLOBUSSPR,811.55,0.167,2339.07,45.84,841.63,-3.57,944.77,-14.10,breweries & distilleries
15th Feb,SIYSIL,511.90,0.530,2322.49,43.62,533.69,-4.08,542.53,-5.65,textiles - processing
15th Feb,DPSCLTD,23.75,4.86,2312.75,0.110,20.77,14.33,16.20,46.59,power generation and supply
15th Feb,63MOONS,501.40,4.99,2310.38,41.38,471.90,6.25,313.97,59.70,computers - software - medium / small
15th Feb,SUVEN,105.60,-2.31,2302.86,-4.77,98.70,6.99,75.40,40.05,pharmaceuticals - indian - bulk drugs & formln
15th Feb,BHARATWIRE,338.45,-0.588,2301.54,13.46,337.00,0.431,251.37,34.64,steel - medium / small
15th Feb,FOSECOIND,3599.10,0.220,2298.55,107.93,3703.45,-2.82,3269.90,10.07,chemicals
15th Feb,MONARCH,678.40,2.10,2297.71,28.68,516.62,31.31,371.33,82.69,finance & investments
15th Feb,TIRUMALCHM,223.65,5.02,2289.91,-3.04,225.99,-1.04,208.01,7.52,chemicals
15th Feb,IKIO,295.35,1.69,2282.49,8.84,328.50,-10.09,NaN,NaN,electric equipment
15th Feb,ARMANFIN,2325,1.10,2268.94,185.41,2407.86,-3.44,2181.36,6.58,finance & investments
15th Feb,HONDAPOWER,2235.45,1.16,2267.43,81.06,2382.88,-6.19,2454.95,-8.94,electric equipment
15th Feb,GTPL,201.55,2.47,2266.69,7.31,189.41,6.41,155.43,29.67,entertainment / electronic media software
15th Feb,SMLISUZU,1561.35,2.10,2259.53,56.92,1384.19,12.80,1238.92,26.02,automobiles - lcvs / hcvs
15th Feb,MAYURUNIQ,513.70,-0.058,2257.85,25.86,550.88,-6.75,526.12,-2.36,plastics products
15th Feb,UDS,338.30,-2.54,2256.55,9.36,327.88,3.18,NaN,NaN,miscellaneous
15th Feb,EIHAHOTELS,740,3.70,2254.64,23.10,558.50,32.50,501.13,47.67,hotels
15th Feb,MMFL,932.35,-2.64,2250.77,53.35,945.95,-1.44,916.97,1.68,castings & forgings
15th Feb,CAPACITE,265.25,3.13,2244.12,12.69,266.59,-0.501,222.84,19.03,construction
15th Feb,MANORAMA,1872.35,0.532,2231.81,31.54,1955.26,-4.24,1827.80,2.44,food - processing - indian
15th Feb,BCLIND,83.15,12.21,2231.33,26.20,71.13,16.90,54.92,51.39,solvent extraction
15th Feb,KRSNAA,690,-0.490,2227.99,18.13,704.67,-2.08,623.31,10.70,healthcare
15th Feb,ORIENTHOT,124.60,-1.42,2225.35,2.85,124.65,-0.038,100.36,24.16,hotels
15th Feb,RIIL,1472.15,8.55,2222.95,14.02,1351.02,8.97,1075.23,36.91,miscellaneous
15th Feb,JAGRAN,102,3.19,2220.07,8.33,99.00,3.03,94.28,8.18,entertainment / electronic media software
15th Feb,HPL,345.05,9.99,2218.69,5.53,270.84,27.40,201.32,71.40,electric equipment
15th Feb,LUMAXIND,2364.40,2.87,2210.18,102.38,2481.51,-4.72,2274.61,3.95,auto ancillaries
15th Feb,TAJGVK,349.40,-1.72,2190.79,12.79,257.08,35.91,242.42,44.13,hotels
15th Feb,ATFL,898.55,2.25,2189.70,5.77,853.10,5.33,829.04,8.38,food - processing - indian
15th Feb,SUBEXLTD,38.85,-0.129,2183.38,-1.50,37.37,3.97,32.90,18.09,computers - software - medium / small
15th Feb,GOCLCORP,439.35,-5.21,2177.97,11.52,505.79,-13.14,445.06,-1.28,chemicals
